project,commit_num,replace_count,insert_count,update_count,delete_count,all_commits_num
aserg-ufmg/RefDiff,1,1,1,0,7,397
GwtMaterialDesign/gwt-material-table,4,5,5,0,9,609
rubenlagus/TelegramBotsExample,1,3,3,0,0,130
NightscoutFoundation/xDrip,23,73,73,0,24,9132
xwiki/xwiki-platform,89,186,186,0,82,28021
stalary/microservice-recruit,1,1,1,0,1,50
graphql-java/graphql-java-spring,1,2,2,0,0,76
mc1arke/sonarqube-community-branch-plugin,9,30,30,0,4,456
verhas/License3j,1,1,1,0,1,234
Waikato/wekaDeeplearning4j,1,2,2,0,2,1764
visallo/vertexium,26,66,66,0,18,1191
wallabag/android-app,7,25,25,0,4,2326
spring-projects/spring-vault,12,64,64,0,13,1012
spring-projects/spring-credhub,1,24,24,0,2,406
freeplane/freeplane,48,81,81,0,38,13265
HanSolo/regulators,1,1,1,0,2,66
jcabi/jcabi-maven-plugin,1,1,1,0,0,382
modelmapper/modelmapper,1,29,29,0,0,432
MichalDanielDobrzanski/WalkingSynth,4,4,4,0,0,200
jbellis/jamm,1,2,2,0,2,144
IGNF/geoxygene,1,5,5,0,0,1310
peter-lawrey/SAXophone,1,1,1,0,1,96
Qkyrie/Markdown2Pdf,1,2,2,0,0,43
sonyxperiadev/lumber-mill,5,14,14,0,3,187
sayems/java.webdriver,1,1,1,0,0,45
Aptoide/aptoide-uploader,16,18,18,0,44,553
saucelabs/simple_sauce,1,9,9,0,1,978
gnembon/carpetmod112,2,2,2,0,5,702
openwide-java/owsi-core-parent,1,1,1,0,0,2353
mzmine/mzmine2,4,8,8,0,5,2919
PantheonTechnologies/lighty-core,7,8,8,0,5,2181
pac4j/undertow-pac4j-demo,1,6,6,0,0,248
antlr/jetbrains-plugin-st4,1,4,4,0,0,106
epam/JDI,15,24,24,0,60,918
wh007/redkale,1,1,1,0,45,906
cloudfoundry/uaa,112,596,596,0,227,10763
google/data-transfer-project,16,73,73,0,14,1979
google/ground-android,66,80,80,0,156,7953
google/android-classyshark,1,1,1,0,1,617
osfans/trime,2,9,9,0,1,2777
spotify/semantic-metrics,2,3,3,0,1,238
dynamicreports/dynamicreports,7,28,28,0,0,394
maciejjaskowski/Quasar-workshop,1,6,6,0,0,16
basgren/railways,2,7,7,0,0,198
1and1/Troilus,8,11,11,0,34,563
AppCanOpenSource/appcan-android,2,3,3,0,0,1075
ultramega/elementary,1,12,12,0,0,503
MarounMaroun/SO-Eclipse-Plugin,1,2,2,0,0,90
Daniel12321/NPCs,4,8,8,0,18,29
listenzz/AndroidNavigation,8,78,78,0,10,749
killbill/killbill-hello-world-java-plugin,1,1,1,0,0,71
pilwon/node-ib,1,3,3,0,0,167
hoijui/JavaOSC,2,23,23,0,4,709
klieber/phantomjs-maven-plugin,2,7,7,0,0,71
nextgis/android_maplibui,1,1,1,0,0,1437
saki4510t/libcommon,2,6,6,0,0,4151
mmazi/rescu,1,4,4,0,0,266
jianesrq0724/PermissionDemo,3,7,7,0,0,52
datumbox/datumbox-framework,10,19,19,0,11,614
getsentry/sentry-react-native,2,3,3,0,1,3493
ForgeEssentials/ForgeEssentials,10,26,26,0,3,3182
graphaware/neo4j-framework,10,60,60,0,3,1531
kitodo/kitodo-production,22,310,310,0,155,14885
mpusher/mpush,18,61,61,0,15,1561
CardinalDevelopment/Cardinal,2,2,2,0,4,103
adobe/aem-core-cif-components,11,20,20,0,39,923
bartoszm/yang2swagger,7,11,11,0,13,207
Snownee/Cuisine,1,1,1,0,1,1000
Unidata/thredds,28,238,238,0,5,4173
dimorinny/show-case-card-view,1,7,7,0,3,51
wuyinlei/MyHearts,11,15,15,0,1,79
ContainerSolutions/minimesos,4,5,5,0,4,1188
Hygieia/hygieia-core,2,9,9,0,1,343
ankidroid/Anki-Android,40,229,229,0,15,17385
pwittchen/ReactiveNetwork,2,2,2,0,0,733
tywo45/t-io,1,7,7,0,0,527
SilverThings/SilverWare,2,2,2,0,5,254
games647/FastLogin,9,24,24,0,6,1138
commercetools/commercetools-sunrise-java,42,64,64,0,139,1996
commercetools/commercetools-sunrise-data,7,9,9,0,11,515
fasseg/exp4j,2,2,2,0,0,215
krasa/StringManipulation,2,2,2,0,7,554
journeyapps/zxing-android-embedded,5,15,15,0,0,460
camel-tooling/camel-idea-plugin,15,28,28,0,29,1585
obiba/magma,18,39,39,0,2,1284
bbottema/simple-java-mail,7,80,80,0,4,1988
criteo/mewpoke,1,1,1,0,3,87
jreznot/electron-java-app,1,1,1,0,0,64
raydac/java-binary-block-parser,5,223,223,0,0,727
TEAMMATES/teammates,30,144,144,0,93,16075
vert-x3/vertx-mail-client,9,21,21,0,55,746
scenerygraphics/sciview,8,15,15,0,1,1810
SecUSo/privacy-friendly-notes,5,7,7,0,1,587
web3j/web3j,13,92,92,0,33,2526
infinitape/etherjar,2,2,2,0,8,579
RedElastic/reactive-stock-trader,6,6,6,0,19,313
MarquezProject/marquez,14,38,38,0,38,2855
McJtyMods/RFToolsPower,12,20,20,0,24,486
McJtyMods/ModTutorials,1,1,1,0,0,86
apache/clerezza,2,15,15,0,0,413
apache/flume,4,8,8,0,0,603
apache/zeppelin,21,108,108,0,9,4957
apache/jmeter,68,234,234,0,24,8102
Plajer-Lair/MurderMystery,8,15,15,0,12,976
digitalpetri/ua-server-sdk,7,13,13,0,45,322
cn-cerc/summer-mis,5,5,5,0,7,2340
NOVA-Team/NOVA-Core,35,77,77,0,41,1821
jeltedeproft/Norii,3,7,7,0,5,483
mplushnikov/lombok-intellij-plugin,22,55,55,0,20,1728
kshoji/USB-MIDI-Driver,1,8,8,0,0,259
SiGuiyang/spring-cloud-shop,2,2,2,0,9,138
rterp/SumZeroTrading,2,2,2,0,0,256
